Image Name,PSNR (dB),SSIM
im_0035_s95_a04,17.3432,0.6465
im_0035_s95_a05,13.2604,0.6464
im_0035_s95_a06,18.3268,0.6303
im_0036_s100_a04,13.3120,0.6331
im_0036_s100_a05,14.6526,0.5794
im_0036_s100_a06,12.8217,0.6665
im_0036_s80_a04,12.4795,0.5977
im_0036_s80_a05,14.3444,0.6294
im_0036_s80_a06,13.8001,0.5767
im_0036_s85_a04,14.0675,0.6545
im_0036_s85_a05,13.4098,0.6331
im_0036_s85_a06,12.8217,0.5852
im_0036_s90_a04,9.5624,0.5390
im_0036_s90_a05,11.0359,0.5127
im_0036_s90_a06,13.1756,0.5552
im_0036_s95_a04,14.5988,0.6571
im_0036_s95_a05,15.0876,0.6106
im_0036_s95_a06,14.7050,0.6654
im_0037_s100_a04,14.8075,0.4982
im_0037_s100_a05,14.9575,0.5420
im_0037_s100_a06,12.9803,0.5767
im_0037_s80_a04,9.6438,0.4606
im_0037_s80_a05,11.9724,0.5158
im_0037_s80_a06,12.6731,0.5126
im_0037_s85_a04,12.4114,0.5210
im_0037_s85_a05,11.7629,0.5556
im_0037_s85_a06,10.6570,0.5216
im_0037_s90_a04,10.8192,0.5290
im_0037_s90_a05,11.7358,0.4192
im_0037_s90_a06,14.1214,0.4753
im_0037_s95_a04,13.8451,0.5292
im_0037_s95_a05,10.0850,0.4986
im_0037_s95_a06,15.9564,0.5429
im_0038_s100_a04,13.8750,0.6098
im_0038_s100_a05,12.4454,0.5572
im_0038_s100_a06,14.4144,0.6757
im_0038_s80_a04,16.9393,0.6688
im_0038_s80_a05,17.5446,0.6662
im_0038_s80_a06,15.8936,0.5405
im_0038_s85_a04,16.7446,0.6574
im_0038_s85_a05,18.4918,0.6987
im_0038_s85_a06,14.1993,0.6035
im_0038_s90_a04,15.8423,0.5187
im_0038_s90_a05,14.3577,0.6137
im_0038_s90_a06,19.3496,0.6710
im_0038_s95_a04,18.6712,0.6301
im_0038_s95_a05,15.5382,0.6234
im_0038_s95_a06,13.2697,0.5599
im_0039_s100_a04,11.7888,0.5044
im_0039_s100_a05,18.3972,0.5810
im_0039_s100_a06,10.6869,0.4776
im_0039_s80_a04,14.3609,0.4328
im_0039_s80_a05,15.4460,0.5249
im_0039_s80_a06,9.6847,0.4798
im_0039_s85_a04,17.1752,0.4824
im_0039_s85_a05,10.0809,0.4741
im_0039_s85_a06,10.7453,0.5132
im_0039_s90_a04,15.3141,0.4605
im_0039_s90_a05,9.9174,0.4930
im_0039_s90_a06,9.5084,0.4640
im_0039_s95_a04,18.8337,0.5781
im_0039_s95_a05,11.4613,0.5249
im_0039_s95_a06,11.8988,0.5458
im_0040_s100_a04,9.9174,0.5799
im_0040_s100_a05,10.0688,0.5950
im_0040_s100_a06,9.8705,0.6503
im_0040_s80_a04,10.4297,0.6097
im_0040_s80_a05,8.8994,0.5748
im_0040_s80_a06,12.9237,0.6491
im_0040_s85_a04,13.2546,0.6439
im_0040_s85_a05,9.8296,0.5483
im_0040_s85_a06,12.8168,0.6233
im_0040_s90_a04,11.8732,0.6487
im_0040_s90_a05,9.3108,0.6076
im_0040_s90_a06,8.7922,0.5395
im_0040_s95_a04,10.3778,0.5703
im_0040_s95_a05,10.2647,0.5890
im_0040_s95_a06,8.7303,0.6057
im_0041_s100_a04,16.6423,0.5137
im_0041_s100_a05,11.7626,0.3220
im_0041_s100_a06,11.2158,0.3309
im_0041_s80_a04,8.1746,0.3246
im_0041_s80_a05,12.0827,0.3093
im_0041_s80_a06,8.4819,0.3011
im_0041_s85_a04,8.3970,0.3271
im_0041_s85_a05,13.6994,0.4039
im_0041_s85_a06,11.1381,0.2666
im_0041_s90_a04,13.4531,0.3439
im_0041_s90_a05,12.4275,0.2474
im_0041_s90_a06,9.1536,0.3187
im_0041_s95_a04,7.3563,0.3242
im_0041_s95_a05,15.1275,0.3926
im_0041_s95_a06,11.0331,0.2712
im_0042_s100_a04,13.3751,0.4146
im_0042_s100_a05,9.0251,0.3832
im_0042_s100_a06,13.1169,0.4083
im_0042_s80_a04,13.8699,0.4601
im_0042_s80_a05,14.1143,0.4520
im_0042_s80_a06,7.8177,0.3869
im_0042_s85_a04,13.6993,0.4358
im_0042_s85_a05,9.0910,0.4151
im_0042_s85_a06,14.2426,0.4857
im_0042_s90_a04,14.5503,0.4711
im_0042_s90_a05,10.5978,0.4440
im_0042_s90_a06,11.2977,0.4625
im_0042_s95_a04,11.6533,0.4131
im_0042_s95_a05,13.8510,0.4590
im_0042_s95_a06,8.5017,0.4010
im_0043_s100_a04,16.9273,0.6499
im_0043_s100_a05,9.8686,0.4670
im_0043_s100_a06,10.8449,0.5485
im_0043_s80_a04,10.2022,0.4563
im_0043_s80_a05,12.9430,0.5409
im_0043_s80_a06,16.0379,0.5677
im_0043_s85_a04,18.6409,0.5961
im_0043_s85_a05,17.3464,0.6925
im_0043_s85_a06,17.0394,0.6297
im_0043_s90_a04,18.4956,0.5646
im_0043_s90_a05,9.5095,0.4777
im_0043_s90_a06,9.6038,0.4513
im_0043_s95_a04,10.1876,0.4571
im_0043_s95_a05,16.8252,0.6660
im_0043_s95_a06,12.8867,0.5252
im_0044_s100_a04,11.4375,0.6435
im_0044_s100_a05,11.5500,0.5778
im_0044_s100_a06,12.5878,0.6175
im_0044_s80_a04,12.5198,0.5760
im_0044_s80_a05,11.7315,0.5950
im_0044_s80_a06,13.6498,0.6284
im_0044_s85_a04,11.2366,0.6199
im_0044_s85_a05,11.1358,0.6075
im_0044_s85_a06,11.4514,0.5988
im_0044_s90_a04,10.3666,0.5958
im_0044_s90_a05,11.0734,0.5261
im_0044_s90_a06,10.6593,0.5943
im_0044_s95_a04,12.9112,0.6042
im_0044_s95_a05,11.0006,0.6085
im_0044_s95_a06,9.5503,0.5688
im_0045_s100_a04,19.7855,0.5675
