Image Name,PSNR (dB),SSIM
rainstreak_raindrop_pie-rd-rain-28,17.9360,0.5371
rainstreak_raindrop_pie-rd-rain-299,17.9279,0.5721
rainstreak_raindrop_pie-rd-rain-306,18.3918,0.6688
rainstreak_raindrop_pie-rd-rain-308,21.5987,0.7638
rainstreak_raindrop_pie-rd-rain-311,21.6849,0.7372
rainstreak_raindrop_pie-rd-rain-313,21.6450,0.7467
rainstreak_raindrop_pie-rd-rain-323,17.8495,0.6066
rainstreak_raindrop_pie-rd-rain-326,19.1008,0.6306
rainstreak_raindrop_pie-rd-rain-332,19.7819,0.6562
rainstreak_raindrop_pie-rd-rain-343,18.5260,0.6099
rainstreak_raindrop_pie-rd-rain-344,19.2012,0.5951
rainstreak_raindrop_pie-rd-rain-349,19.1834,0.6166
rainstreak_raindrop_pie-rd-rain-35,18.8713,0.5615
rainstreak_raindrop_pie-rd-rain-353,20.4107,0.6584
rainstreak_raindrop_pie-rd-rain-355,21.1072,0.6993
rainstreak_raindrop_pie-rd-rain-36,19.7946,0.6145
rainstreak_raindrop_pie-rd-rain-37,18.9376,0.5552
rainstreak_raindrop_pie-rd-rain-374,20.8521,0.6610
rainstreak_raindrop_pie-rd-rain-380,18.1133,0.6151
rainstreak_raindrop_pie-rd-rain-381,18.3755,0.5910
rainstreak_raindrop_pie-rd-rain-383,17.9545,0.5721
rainstreak_raindrop_pie-rd-rain-389,16.3846,0.5504
rainstreak_raindrop_pie-rd-rain-391,16.4947,0.5592
rainstreak_raindrop_pie-rd-rain-393,18.3701,0.5995
rainstreak_raindrop_pie-rd-rain-4,17.2942,0.4807
rainstreak_raindrop_pie-rd-rain-406,18.5943,0.6183
rainstreak_raindrop_pie-rd-rain-408,19.0088,0.6342
rainstreak_raindrop_pie-rd-rain-416,17.0395,0.5479
rainstreak_raindrop_pie-rd-rain-418,18.3358,0.6345
rainstreak_raindrop_pie-rd-rain-424,18.2280,0.5776
rainstreak_raindrop_pie-rd-rain-43,19.7875,0.5922
rainstreak_raindrop_pie-rd-rain-431,17.3455,0.5694
rainstreak_raindrop_pie-rd-rain-439,17.2431,0.5205
rainstreak_raindrop_pie-rd-rain-445,17.2859,0.5309
rainstreak_raindrop_pie-rd-rain-447,17.5653,0.5437
rainstreak_raindrop_pie-rd-rain-449,18.7802,0.5926
rainstreak_raindrop_pie-rd-rain-453,16.7137,0.4966
rainstreak_raindrop_pie-rd-rain-460,16.7870,0.4703
rainstreak_raindrop_pie-rd-rain-461,18.7400,0.6072
rainstreak_raindrop_pie-rd-rain-482,17.1148,0.5716
rainstreak_raindrop_pie-rd-rain-483,16.7543,0.5492
rainstreak_raindrop_pie-rd-rain-487,16.3158,0.5397
rainstreak_raindrop_pie-rd-rain-501,18.4632,0.5646
rainstreak_raindrop_pie-rd-rain-507,17.1459,0.4600
rainstreak_raindrop_pie-rd-rain-510,16.7239,0.5245
rainstreak_raindrop_pie-rd-rain-513,18.9709,0.6157
rainstreak_raindrop_pie-rd-rain-518,18.2980,0.5063
rainstreak_raindrop_pie-rd-rain-535,17.0141,0.4847
rainstreak_raindrop_pie-rd-rain-544,19.9786,0.6203
rainstreak_raindrop_pie-rd-rain-549,19.7858,0.6617
rainstreak_raindrop_pie-rd-rain-555,17.4232,0.5219
rainstreak_raindrop_pie-rd-rain-560,19.2792,0.5730
rainstreak_raindrop_pie-rd-rain-561,16.4732,0.4437
rainstreak_raindrop_pie-rd-rain-564,18.6441,0.5215
rainstreak_raindrop_pie-rd-rain-565,18.8175,0.5331
rainstreak_raindrop_pie-rd-rain-566,16.1924,0.4406
rainstreak_raindrop_pie-rd-rain-567,16.8638,0.4537
rainstreak_raindrop_pie-rd-rain-572,16.3189,0.4503
rainstreak_raindrop_pie-rd-rain-580,17.9431,0.5087
rainstreak_raindrop_pie-rd-rain-586,18.5786,0.5492
rainstreak_raindrop_pie-rd-rain-594,17.3148,0.4755
rainstreak_raindrop_pie-rd-rain-598,17.4335,0.5186
rainstreak_raindrop_pie-rd-rain-599,18.8384,0.5864
rainstreak_raindrop_pie-rd-rain-64,18.8934,0.5551
rainstreak_raindrop_pie-rd-rain-72,17.3258,0.5365
rainstreak_raindrop_pie-rd-rain-77,18.4943,0.5643
rainstreak_raindrop_pie-rd-rain-79,16.8902,0.5311
rainstreak_raindrop_pie-rd-rain-8,15.8426,0.4648
rainstreak_raindrop_pie-rd-rain-83,18.8025,0.6355
rainstreak_raindrop_pie-rd-rain-84,18.8536,0.6553
rainstreak_raindrop_pie-rd-rain-98,14.7988,0.4083
rainstreak_raindrop_rd-rain-108,17.1910,0.4174
rainstreak_raindrop_rd-rain-153,19.8440,0.6665
rainstreak_raindrop_rd-rain-16,17.1067,0.4603
rainstreak_raindrop_rd-rain-160,18.6218,0.6057
rainstreak_raindrop_rd-rain-161,19.7257,0.6538
rainstreak_raindrop_rd-rain-162,19.1969,0.6401
rainstreak_raindrop_rd-rain-163,19.8445,0.6640
rainstreak_raindrop_rd-rain-164,19.6793,0.6706
rainstreak_raindrop_rd-rain-165,19.4799,0.6223
rainstreak_raindrop_rd-rain-166,19.0888,0.6128
rainstreak_raindrop_rd-rain-167,19.6795,0.6686
rainstreak_raindrop_rd-rain-168,19.9948,0.6480
rainstreak_raindrop_rd-rain-169,20.4570,0.6956
rainstreak_raindrop_rd-rain-180,19.1381,0.6589
rainstreak_raindrop_rd-rain-2,19.9248,0.4714
rainstreak_raindrop_rd-rain-203,18.6784,0.5953
rainstreak_raindrop_rd-rain-237,16.6239,0.5321
rainstreak_raindrop_rd-rain-256,18.5774,0.5933
rainstreak_raindrop_rd-rain-260,16.9801,0.6163
rainstreak_raindrop_rd-rain-261,18.4870,0.6727
rainstreak_raindrop_rd-rain-262,18.0810,0.5542
rainstreak_raindrop_rd-rain-263,16.4677,0.5205
rainstreak_raindrop_rd-rain-264,16.5845,0.4814
rainstreak_raindrop_rd-rain-265,17.2019,0.4758
rainstreak_raindrop_rd-rain-266,17.9598,0.4759
rainstreak_raindrop_rd-rain-267,15.5182,0.4072
rainstreak_raindrop_rd-rain-268,16.6901,0.4538
rainstreak_raindrop_rd-rain-269,18.0976,0.5515
rainstreak_raindrop_rd-rain-274,17.6287,0.5155
rainstreak_raindrop_rd-rain-305,17.2021,0.4414
rainstreak_raindrop_rd-rain-317,18.4741,0.4549
rainstreak_raindrop_rd-rain-318,18.6462,0.4703
rainstreak_raindrop_rd-rain-354,16.9289,0.5609
rainstreak_raindrop_rd-rain-360,17.4696,0.5373
rainstreak_raindrop_rd-rain-361,18.0318,0.5419
rainstreak_raindrop_rd-rain-362,16.6001,0.4041
rainstreak_raindrop_rd-rain-363,17.8637,0.4449
rainstreak_raindrop_rd-rain-364,16.9846,0.4460
rainstreak_raindrop_rd-rain-365,18.4423,0.4926
rainstreak_raindrop_rd-rain-366,16.8011,0.4703
rainstreak_raindrop_rd-rain-367,17.2463,0.5077
rainstreak_raindrop_rd-rain-368,16.7884,0.4782
rainstreak_raindrop_rd-rain-369,16.5156,0.4569
rainstreak_raindrop_rd-rain-377,18.1671,0.5962
rainstreak_raindrop_rd-rain-395,17.8828,0.5138
rainstreak_raindrop_rd-rain-425,18.4514,0.5088
rainstreak_raindrop_rd-rain-436,16.3167,0.5062
rainstreak_raindrop_rd-rain-487,17.0654,0.4042
rainstreak_raindrop_rd-rain-488,20.1983,0.5700
rainstreak_raindrop_rd-rain-489,18.9500,0.5149
rainstreak_raindrop_rd-rain-490,17.8738,0.5017
rainstreak_raindrop_rd-rain-491,16.3809,0.4233
rainstreak_raindrop_rd-rain-492,17.0574,0.4591
rainstreak_raindrop_rd-rain-493,17.4424,0.4485
rainstreak_raindrop_rd-rain-494,17.9257,0.5630
rainstreak_raindrop_rd-rain-495,16.8629,0.4979
rainstreak_raindrop_rd-rain-496,18.3883,0.5017
rainstreak_raindrop_rd-rain-497,18.5204,0.4367
rainstreak_raindrop_rd-rain-498,17.4106,0.4184
rainstreak_raindrop_rd-rain-499,17.4014,0.4112
rainstreak_raindrop_rd-rain-50,16.2081,0.4437
rainstreak_raindrop_rd-rain-500,17.2296,0.3975
rainstreak_raindrop_rd-rain-501,17.8072,0.4688
rainstreak_raindrop_rd-rain-502,16.8420,0.4427
rainstreak_raindrop_rd-rain-503,17.3838,0.4490
